Image 1,Image 2,Preprocessing,Detector,KP1,KP2,Matches,Inliers,Precision,Recall
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,SIFT,8,5,1,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,ORB,8,12,1,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,AKAZE,6,6,4,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,KAZE,17,14,3,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,BRISK,7,7,1,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,FAST_BRIEF,0,0,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gauss+Sharpen,FAST_FREAK,7,7,2,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gamma(0.5),SIFT,7,7,2,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gamma(0.5),ORB,3,5,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gamma(0.5),AKAZE,6,5,3,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gamma(0.5),KAZE,18,15,9,9,1.0,0.6
cap_04.tiff,cap_27.tiff,Gamma(0.5),BRISK,3,2,1,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gamma(0.5),FAST_BRIEF,3,0,0,0,0.0,0.0
cap_04.tiff,cap_27.tiff,Gamma(0.5),FAST_FREAK,3,3,2,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,SIFT,5,6,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,ORB,9,11,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,AKAZE,6,6,1,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,KAZE,16,16,4,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,BRISK,3,4,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,FAST_BRIEF,5,5,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Linear,FAST_FREAK,6,6,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,SIFT,6,8,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,ORB,2,4,1,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,AKAZE,1,2,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,KAZE,16,17,4,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,BRISK,1,4,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,FAST_BRIEF,1,1,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Log Norm,FAST_FREAK,1,1,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Hist Eq,SIFT,0,0,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Hist Eq,ORB,9,11,6,3,0.5,0.333
cap_04.tiff,cap_12.tiff,Hist Eq,AKAZE,0,1,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Hist Eq,KAZE,6,17,1,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Hist Eq,BRISK,53,9,4,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Hist Eq,FAST_BRIEF,3,6,1,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Hist Eq,FAST_FREAK,8,10,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,SIFT,11,19,2,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,ORB,4,16,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,AKAZE,7,9,1,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,KAZE,20,36,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,BRISK,2,11,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,FAST_BRIEF,4,10,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,CLAHE,FAST_FREAK,4,10,2,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,SIFT,8,11,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,ORB,8,11,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,AKAZE,6,8,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,KAZE,0,0,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,BRISK,7,9,1,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,FAST_BRIEF,0,0,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gauss+Sharpen,FAST_FREAK,7,10,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),SIFT,7,10,3,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),ORB,3,10,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),AKAZE,6,6,2,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),KAZE,0,0,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),BRISK,3,8,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),FAST_BRIEF,3,8,0,0,0.0,0.0
cap_04.tiff,cap_12.tiff,Gamma(0.5),FAST_FREAK,3,9,2,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Linear,SIFT,5,5,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Linear,ORB,7,2,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Linear,AKAZE,6,7,3,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Linear,KAZE,17,13,6,5,0.833,0.385
cap_03.tiff,cap_28.tiff,Linear,BRISK,3,3,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Linear,FAST_BRIEF,5,0,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Linear,FAST_FREAK,7,2,2,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Log Norm,SIFT,5,6,4,0,0.0,0.0
